State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
29,000,MO,Missouri,908394,890929,925859,15.5,15.2,15.8,289287,279932,298642,21.3,20.6,22,192099,184094,200104,19.5,18.7,20.3,48288,47734,48842,89931,85139,94723,24.7,23.4,26
29,001,MO,Adair County,6109,5346,6872,26.9,23.5,30.3,1078,820,1336,23.4,17.8,29,721,538,904,21,15.7,26.3,35425,32020,38830,.,.,.,.,.,.
29,003,MO,Andrew County,1834,1498,2170,10.7,8.7,12.7,520,390,650,13.3,10,16.6,369,272,466,12.3,9.1,15.5,56309,50950,61668,.,.,.,.,.,.
29,005,MO,Atchison County,645,501,789,12.2,9.5,14.9,182,137,227,17.2,12.9,21.5,124,91,157,16.1,11.8,20.4,45997,41823,50171,.,.,.,.,.,.
29,007,MO,Audrain County,4084,3230,4938,17.2,13.6,20.8,1600,1204,1996,27.5,20.7,34.3,1047,763,1331,25.6,18.7,32.5,41302,38373,44231,.,.,.,.,.,.
29,009,MO,Barry County,7101,5801,8401,20.2,16.5,23.9,2625,2114,3136,32.7,26.3,39.1,1901,1533,2269,33,26.6,39.4,38139,35247,41031,.,.,.,.,.,.
29,011,MO,Barton County,2280,1861,2699,19.1,15.6,22.6,827,651,1003,28.1,22.1,34.1,567,442,692,25.1,19.6,30.6,37581,34361,40801,.,.,.,.,.,.
29,013,MO,Bates County,2976,2463,3489,18.4,15.2,21.6,1003,801,1205,25.9,20.7,31.1,704,558,850,24.3,19.3,29.3,41462,38219,44705,.,.,.,.,.,.
29,015,MO,Benton County,3614,2942,4286,19.5,15.9,23.1,995,764,1226,30.8,23.7,37.9,711,539,883,28.4,21.5,35.3,33236,30829,35643,.,.,.,.,.,.
29,017,MO,Bollinger County,2466,1999,2933,20.1,16.3,23.9,770,597,943,28.5,22.1,34.9,536,412,660,27.3,21,33.6,39033,35083,42983,.,.,.,.,.,.
29,019,MO,Boone County,31804,29280,34328,19.5,18,21,6093,5040,7146,17.7,14.6,20.8,3983,3185,4781,16.5,13.2,19.8,50305,47568,53042,.,.,.,.,.,.
29,021,MO,Buchanan County,15129,12902,17356,17.8,15.2,20.4,5316,4405,6227,26.8,22.2,31.4,3552,2894,4210,25.5,20.8,30.2,45431,42392,48470,.,.,.,.,.,.
29,023,MO,Butler County,8960,7324,10596,21.3,17.4,25.2,3177,2507,3847,32.2,25.4,39,2033,1519,2547,28.8,21.5,36.1,35774,33238,38310,.,.,.,.,.,.
29,025,MO,Caldwell County,1423,1169,1677,16.2,13.3,19.1,466,363,569,22,17.1,26.9,323,249,397,19.8,15.3,24.3,43111,39405,46817,.,.,.,.,.,.
29,027,MO,Callaway County,5779,4763,6795,14.2,11.7,16.7,1868,1474,2262,20.4,16.1,24.7,1238,954,1522,18.6,14.3,22.9,49384,45331,53437,.,.,.,.,.,.
29,029,MO,Camden County,7600,6519,8681,17.5,15,20,2095,1623,2567,27.1,21,33.2,1424,1084,1764,24.6,18.7,30.5,44410,41073,47747,.,.,.,.,.,.
